,WQI,WGI_d,Soda_Ash,Liquid_Chlorine,Liquid_Polyaluminium_Chloride,Hydrated_Lime,Aluminium_Sulphate,wtp
Liquid_Chlorine,0.1910277001800402,-0.2702022870444441,,1.0,,0.2594253237690755,0.5714446325232632,Sungai Selangor Fasa 2 Stream C
Liquid_Polyaluminium_Chloride,,,,,,,,Sungai Selangor Fasa 2 Stream C
Hydrated_Lime,0.05316574485670549,-0.4672906566207908,,0.2594253237690755,,1.0,0.4142658997564149,Sungai Selangor Fasa 2 Stream C
Aluminium_Sulphate,-0.238797582042976,-0.4194558519574945,,0.5714446325232632,,0.4142658997564149,1.0,Sungai Selangor Fasa 2 Stream C
WQI,1.0,-0.01737695541581392,,0.00047853468324387366,0.2830063285352409,0.022097295453157532,,Sungai Selangor Fasa 3
WGI_d,-0.01737695541581392,1.0,,-0.1182815505501946,-0.6596854963172057,-0.640342197348638,,Sungai Selangor Fasa 3
Soda_Ash,,,,,,,,Sungai Selangor Fasa 3
Liquid_Chlorine,0.00047853468324387366,-0.1182815505501946,,1.0,0.046626576525574975,0.20054106576875258,,Sungai Selangor Fasa 3
Liquid_Polyaluminium_Chloride,0.2830063285352409,-0.6596854963172057,,0.046626576525574975,1.0,0.3212233268207096,,Sungai Selangor Fasa 3
Hydrated_Lime,0.022097295453157532,-0.640342197348638,,0.20054106576875258,0.3212233268207096,1.0,,Sungai Selangor Fasa 3
Aluminium_Sulphate,,,,,,,,Sungai Selangor Fasa 3
