,WQI,WGI_d,all_chem,Soda_Ash,Liquid_Chlorine,Liquid_Polyaluminium_Chloride,Hydrated_Lime,Aluminium_Sulphate,wtp
WGI_d,,1.0,-0.33597696181125286,,0.18074242534705467,-0.4125755400911577,0.08006777398908052,,Rantau Panjang Old
all_chem,,-0.33597696181125286,1.0,,0.5609059507073407,0.979833798370347,0.5627237954212649,,Rantau Panjang Old
Soda_Ash,,,,,,,,,Rantau Panjang Old
Liquid_Chlorine,,0.18074242534705467,0.5609059507073407,,1.0,0.3872284087230184,0.9004679023282117,,Rantau Panjang Old
Liquid_Polyaluminium_Chloride,,-0.4125755400911577,0.979833798370347,,0.3872284087230184,1.0,0.3964176441086282,,Rantau Panjang Old
Hydrated_Lime,,0.08006777398908052,0.5627237954212649,,0.9004679023282117,0.3964176441086282,1.0,,Rantau Panjang Old
Aluminium_Sulphate,,,,,,,,,Rantau Panjang Old
WQI,1.0,0.5777238730915181,-0.4886622466633941,,-0.6849619968362279,-0.3317051656639733,-0.5593952205844323,,Rasa
WGI_d,0.5777238730915181,1.0,-0.06912316796808296,,-0.807540833394307,0.14472448258710266,-0.3969666804525351,,Rasa
all_chem,-0.4886622466633941,-0.06912316796808296,1.0,,0.22556003255507526,0.9488782406960633,0.752581686220075,,Rasa
Soda_Ash,,,,,,,,,Rasa
Liquid_Chlorine,-0.6849619968362279,-0.807540833394307,0.22556003255507526,,1.0,-0.04381145030818348,0.5996032161972138,,Rasa
Liquid_Polyaluminium_Chloride,-0.3317051656639733,0.14472448258710266,0.9488782406960633,,-0.04381145030818348,1.0,0.5132564121017646,,Rasa
Hydrated_Lime,-0.5593952205844323,-0.3969666804525351,0.752581686220075,,0.5996032161972138,0.5132564121017646,1.0,,Rasa
Aluminium_Sulphate,,,,,,,,,Rasa
WQI,1.0,-0.1695458325974346,-0.0933805964461397,-0.13283619730561635,-0.37673922753372485,,,0.048012309070225474,Sungai Rangkap
WGI_d,-0.1695458325974346,1.0,-0.8575619718635382,-0.7331780306667341,-0.38926742339432013,,,-0.8088204045460854,Sungai Rangkap
all_chem,-0.0933805964461397,-0.8575619718635382,1.0,0.949524831321193,0.390949069914532,,,0.9481348238115548,Sungai Rangkap
Soda_Ash,-0.13283619730561635,-0.7331780306667341,0.949524831321193,1.0,0.22053052516094315,,,0.9374443272902929,Sungai Rangkap
Liquid_Chlorine,-0.37673922753372485,-0.38926742339432013,0.390949069914532,0.22053052516094315,1.0,,,0.08217828405415939,Sungai Rangkap
Liquid_Polyaluminium_Chloride,,,,,,,,,Sungai Rangkap
Hydrated_Lime,,,,,,,,,Sungai Rangkap
Aluminium_Sulphate,0.048012309070225474,-0.8088204045460854,0.9481348238115548,0.9374443272902929,0.08217828405415939,,,1.0,Sungai Rangkap
WQI,1.0,-0.24479934093532146,-0.22339852720480496,,-0.1445112271962683,-0.2020485570885691,-0.43830976738209565,,Sungai Selangor Fasa 1
WGI_d,-0.24479934093532146,1.0,-0.5373662207498294,,-0.7677260962278043,-0.5323114674708171,-0.21949354051268904,,Sungai Selangor Fasa 1
all_chem,-0.22339852720480496,-0.5373662207498294,1.0,,0.7161601180363311,0.9980964133930798,0.7637435163734786,,Sungai Selangor Fasa 1
Soda_Ash,,,,,,,,,Sungai Selangor Fasa 1
Liquid_Chlorine,-0.1445112271962683,-0.7677260962278043,0.7161601180363311,,1.0,0.6919661485162801,0.5223002637220391,,Sungai Selangor Fasa 1
Liquid_Polyaluminium_Chloride,-0.2020485570885691,-0.5323114674708171,0.9980964133930798,,0.6919661485162801,1.0,0.7297465861357544,,Sungai Selangor Fasa 1
Hydrated_Lime,-0.43830976738209565,-0.21949354051268904,0.7637435163734786,,0.5223002637220391,0.7297465861357544,1.0,,Sungai Selangor Fasa 1
Aluminium_Sulphate,,,,,,,,,Sungai Selangor Fasa 1
WQI,1.0,0.19644998196600033,-0.15628300882273308,,0.1910277001800402,,0.05316574485670549,-0.238797582042976,Sungai Selangor Fasa 2 Stream C
WGI_d,0.19644998196600033,1.0,-0.5015868757137014,,-0.2702022870444441,,-0.4672906566207908,-0.4194558519574945,Sungai Selangor Fasa 2 Stream C
all_chem,-0.15628300882273308,-0.5015868757137014,1.0,,0.5818386960598854,,0.6844069940213872,0.9460990740937641,Sungai Selangor Fasa 2 Stream C
Soda_Ash,,,,,,,,,Sungai Selangor Fasa 2 Stream C
Liquid_Chlorine,0.1910277001800402,-0.2702022870444441,0.5818386960598854,,1.0,,0.2594253237690755,0.5714446325232632,Sungai Selangor Fasa 2 Stream C
Liquid_Polyaluminium_Chloride,,,,,,,,,Sungai Selangor Fasa 2 Stream C
Hydrated_Lime,0.05316574485670549,-0.4672906566207908,0.6844069940213872,,0.2594253237690755,,1.0,0.4142658997564149,Sungai Selangor Fasa 2 Stream C
Aluminium_Sulphate,-0.238797582042976,-0.4194558519574945,0.9460990740937641,,0.5714446325232632,,0.4142658997564149,1.0,Sungai Selangor Fasa 2 Stream C
WQI,1.0,-0.01737695541581392,0.2644164578287325,,0.00047853468324387366,0.2830063285352409,0.022097295453157532,,Sungai Selangor Fasa 3
WGI_d,-0.01737695541581392,1.0,-0.7282316529342165,,-0.1182815505501946,-0.6596854963172057,-0.640342197348638,,Sungai Selangor Fasa 3
all_chem,0.2644164578287325,-0.7282316529342165,1.0,,0.16040991761243995,0.9802254350575927,0.4858554628327038,,Sungai Selangor Fasa 3
Soda_Ash,,,,,,,,,Sungai Selangor Fasa 3
Liquid_Chlorine,0.00047853468324387366,-0.1182815505501946,0.16040991761243995,,1.0,0.046626576525574975,0.20054106576875258,,Sungai Selangor Fasa 3
Liquid_Polyaluminium_Chloride,0.2830063285352409,-0.6596854963172057,0.9802254350575927,,0.046626576525574975,1.0,0.3212233268207096,,Sungai Selangor Fasa 3
Hydrated_Lime,0.022097295453157532,-0.640342197348638,0.4858554628327038,,0.20054106576875258,0.3212233268207096,1.0,,Sungai Selangor Fasa 3
Aluminium_Sulphate,,,,,,,,,Sungai Selangor Fasa 3
